current_path,new_path,rename_to,category,subcategory,dependencies,priority,description
./.claude/agents/core/coder.md,src/agents/definitions/core/coder.md,coder.md,core,implementation,"planner,researcher,tester",high,Implementation specialist for writing clean efficient code
./.claude/agents/core/planner.md,src/agents/definitions/core/planner.md,planner.md,core,planning,"researcher,coder",high,Task breakdown and execution planning specialist
./.claude/agents/core/researcher.md,src/agents/definitions/core/researcher.md,researcher.md,core,analysis,"planner",high,Research and analysis specialist for context gathering
./.claude/agents/core/reviewer.md,src/agents/definitions/core/reviewer.md,reviewer.md,core,quality,"coder,tester",high,Code review and quality assurance specialist
./.claude/agents/core/tester.md,src/agents/definitions/core/tester.md,tester.md,core,testing,"coder,reviewer",high,Testing and validation specialist

./.claude/agents/analysis/code-analyzer.md,src/agents/definitions/specialized/analysis/code-analyzer.md,code-analyzer.md,specialized,analysis,"reviewer",medium,Code quality and complexity analysis specialist
./.claude/agents/analysis/code-review/analyze-code-quality.md,src/agents/definitions/specialized/analysis/code-quality-analyzer.md,code-quality-analyzer.md,specialized,analysis,"reviewer,code-analyzer",medium,Code quality metrics and standards enforcement

./.claude/agents/architecture/system-design/arch-system-design.md,src/agents/definitions/specialized/architecture/system-architect.md,system-architect.md,specialized,architecture,"planner",high,System design and architecture specialist
./.claude/agents/base-template-generator.md,src/agents/definitions/specialized/scaffolding/template-generator.md,template-generator.md,specialized,scaffolding,none,low,Base template and scaffolding generator

./.claude/agents/consensus/byzantine-coordinator.md,src/agents/definitions/coordination/consensus/byzantine-coordinator.md,byzantine-coordinator.md,coordination,consensus,"swarm-init",critical,Byzantine fault tolerance coordinator
./.claude/agents/consensus/crdt-synchronizer.md,src/agents/definitions/coordination/consensus/crdt-synchronizer.md,crdt-synchronizer.md,coordination,consensus,"swarm-init",critical,CRDT-based data synchronization coordinator
./.claude/agents/consensus/gossip-coordinator.md,src/agents/definitions/coordination/consensus/gossip-coordinator.md,gossip-coordinator.md,coordination,consensus,"swarm-init",critical,Gossip protocol distributed coordinator
./.claude/agents/consensus/performance-benchmarker.md,src/agents/definitions/coordination/performance/performance-benchmarker.md,performance-benchmarker.md,coordination,performance,"swarm-monitor",medium,Performance benchmarking and metrics specialist
./.claude/agents/consensus/quorum-manager.md,src/agents/definitions/coordination/consensus/quorum-manager.md,quorum-manager.md,coordination,consensus,"swarm-init",critical,Quorum-based consensus manager
./.claude/agents/consensus/raft-manager.md,src/agents/definitions/coordination/consensus/raft-manager.md,raft-manager.md,coordination,consensus,"swarm-init",critical,Raft consensus protocol manager
./.claude/agents/consensus/security-manager.md,src/agents/definitions/coordination/security/security-manager.md,security-manager.md,coordination,security,"swarm-init",critical,Security policy enforcement and coordination

./.claude/agents/data/ml/data-ml-model.md,src/agents/definitions/specialized/ml/ml-model-specialist.md,ml-model-specialist.md,specialized,ml,"neural-network",medium,Machine learning model development specialist

./.claude/agents/development/backend/dev-backend-api.md,src/agents/definitions/specialized/backend/backend-api-developer.md,backend-api-developer.md,specialized,backend,"coder,system-architect",high,Backend API development specialist

./.claude/agents/devops/ci-cd/ops-cicd-github.md,src/agents/definitions/specialized/devops/cicd-engineer.md,cicd-engineer.md,specialized,devops,"github-modes",high,CI/CD pipeline engineering specialist

./.claude/agents/documentation/api-docs/docs-api-openapi.md,src/agents/definitions/specialized/documentation/api-documentation-specialist.md,api-documentation-specialist.md,specialized,documentation,"backend-api-developer",medium,OpenAPI and API documentation specialist

./.claude/agents/flow-nexus/app-store.md,src/agents/definitions/platform/flow-nexus/app-store-manager.md,app-store-manager.md,platform,flow-nexus,"authentication",low,Flow Nexus app store management agent
./.claude/agents/flow-nexus/authentication.md,src/agents/definitions/platform/flow-nexus/authentication-manager.md,authentication-manager.md,platform,flow-nexus,none,medium,Flow Nexus authentication and user management
./.claude/agents/flow-nexus/challenges.md,src/agents/definitions/platform/flow-nexus/challenge-coordinator.md,challenge-coordinator.md,platform,flow-nexus,"app-store-manager",low,Flow Nexus coding challenges coordinator
./.claude/agents/flow-nexus/neural-network.md,src/agents/definitions/platform/flow-nexus/neural-network-specialist.md,neural-network-specialist.md,platform,flow-nexus,"sandbox-manager",high,Flow Nexus distributed neural network specialist
./.claude/agents/flow-nexus/payments.md,src/agents/definitions/platform/flow-nexus/payment-coordinator.md,payment-coordinator.md,platform,flow-nexus,"authentication-manager",medium,Flow Nexus payment and credit management
./.claude/agents/flow-nexus/sandbox.md,src/agents/definitions/platform/flow-nexus/sandbox-manager.md,sandbox-manager.md,platform,flow-nexus,"authentication-manager",high,Flow Nexus E2B sandbox orchestration
./.claude/agents/flow-nexus/swarm.md,src/agents/definitions/platform/flow-nexus/swarm-orchestrator.md,swarm-orchestrator.md,platform,flow-nexus,"sandbox-manager,authentication-manager",high,Flow Nexus cloud swarm orchestration
./.claude/agents/flow-nexus/user-tools.md,src/agents/definitions/platform/flow-nexus/user-tools-manager.md,user-tools-manager.md,platform,flow-nexus,"authentication-manager",medium,Flow Nexus user management and storage tools
./.claude/agents/flow-nexus/workflow.md,src/agents/definitions/platform/flow-nexus/workflow-coordinator.md,workflow-coordinator.md,platform,flow-nexus,"swarm-orchestrator",high,Flow Nexus event-driven workflow coordination

./.claude/agents/github/code-review-swarm.md,src/agents/definitions/github/code-review-swarm.md,code-review-swarm.md,github,swarm,"pr-manager,reviewer",high,GitHub code review swarm coordinator
./.claude/agents/github/github-modes.md,src/agents/definitions/github/github-modes.md,github-modes.md,github,orchestration,none,critical,GitHub comprehensive integration modes
./.claude/agents/github/issue-tracker.md,src/agents/definitions/github/issue-tracker.md,issue-tracker.md,github,project,"github-modes",high,GitHub issue management and tracking
./.claude/agents/github/multi-repo-swarm.md,src/agents/definitions/github/multi-repo-swarm.md,multi-repo-swarm.md,github,swarm,"repo-architect,sync-coordinator",medium,Multi-repository swarm coordination
./.claude/agents/github/pr-manager.md,src/agents/definitions/github/pr-manager.md,pr-manager.md,github,workflow,"github-modes,reviewer",high,GitHub pull request management
./.claude/agents/github/project-board-sync.md,src/agents/definitions/github/project-board-sync.md,project-board-sync.md,github,project,"issue-tracker",medium,GitHub project board synchronization
./.claude/agents/github/release-manager.md,src/agents/definitions/github/release-manager.md,release-manager.md,github,release,"pr-manager",high,GitHub release management and versioning
./.claude/agents/github/release-swarm.md,src/agents/definitions/github/release-swarm.md,release-swarm.md,github,swarm,"release-manager",medium,GitHub release swarm coordination
./.claude/agents/github/repo-architect.md,src/agents/definitions/github/repo-architect.md,repo-architect.md,github,architecture,"github-modes",high,GitHub repository architecture specialist
./.claude/agents/github/swarm-issue.md,src/agents/definitions/github/swarm-issue.md,swarm-issue.md,github,swarm,"issue-tracker",medium,GitHub issue swarm coordination
